id;festival;categoria;año;premiado_a;pelicula
196;Premios Razzie ; Peor actriz secundaria: ;1999; Demi Moore ; Los ángeles de Charlie: Al límite 
197;Premios Razzie ; Peor actriz secundaria: ;1998; Madonna ; Muere otro día 
198;Premios Razzie ; Peor actriz secundaria: ;1997; Estella Warren ; Driven 
199;Premios Razzie ; Peor actriz secundaria: ;1996; Kelly Preston ; Campo de batalla: La Tierra 
200;Premios Razzie ; Peor actriz secundaria: ;1995; Denise Richards ; El mundo nunca es suficiente 
201;Premios Razzie ; Peor actriz secundaria: ;1994; Maria Pitillo ; Godzilla 
202;Premios Razzie ; Peor actriz secundaria: ;1993; Alicia Silverstone ; Batman y Robin 
203;Premios Razzie ; Peor actriz secundaria: ;1992; Melanie Griffith ; Mulholland Falls (La brigada del sombrero) 
204;Premios Razzie ; Peor actriz secundaria: ;1991; Madonna ; Four Rooms 
205;Premios Razzie ; Peor actriz secundaria: ;1990; Rosie O'Donnell ; Los Picapiedra 
206;Premios Razzie ; Peor actriz secundaria: ;1989; Rosie O'Donnell ; Dos sabuesos en la isla del edén 
207;Premios Razzie ; Peor actriz secundaria: ;1988; Rosie O'Donnell ; Coche 54 ¿dónde estás? 
208;Premios Razzie ; Peor actriz secundaria: ;1987; Faye Dunaway ; La suplente (Ambición fatal) 
209;Premios Razzie ; Peor actriz secundaria: ;1986; Estelle Getty ; ¡Alto! o mi madre dispara 
210;Premios Razzie ; Peor actriz secundaria: ;1985; Sean Young por interpretar a su gelema asesinada ; Bésame antes de morir 
211;Premios Razzie ; Peor actriz secundaria: ;1984; Sofia Coppola ; El padrino. Parte III 
212;Premios Razzie ; Peor actriz secundaria: ;1983; Brooke Shields ; Los locos del Cannonball 3 
213;Premios Razzie ; Peor actriz secundaria: ;1982; Kristy McNichol ; Encrucijada de pasiones 
214;Premios Razzie ; Peor actriz secundaria: ;1981; Daryl Hannah ; Wall Street 
215;Premios Razzie ; Peor guion: ;2023; Andrew Dominik ; Blonde 
216;Premios Razzie ; Peor guion: ;2022; Joe DiPietro ; Lady Di: El musical 
217;Premios Razzie ; Peor guion: ;2021; Tomasz Klimala, Barbara Bialowas, Tomasz Mandes, Blanka Lipinska ; 365 días 
218;Premios Razzie ; Peor guion: ;2020; Lee Hall, Tom Hooper ; Cats 
219;Premios Razzie ; Peor guion: ;2019; Niall Leonard ; Cincuenta sombras liberadas 
220;Premios Razzie ; Peor guion: ;2018; Kelly Marcel ; Emoji: La película 
221;Premios Razzie ; Peor guion: ;2017; Darren Doane, Chester Hervey ; Batman v. Superman: El amanecer de la Justicia 
222;Premios Razzie ; Peor guion: ;2016; Sus 19 guionistas ; Cincuenta sombras de Grey 
223;Premios Razzie ; Peor guion: ;2015; David Caspe ; Saving Christmas 
224;Premios Razzie ; Peor guion: ;2014; Steve Koren, Adam Sandler, Ben Zook ; Movie 43 
225;Premios Razzie ; Peor guion: ;2013; M. Night Shyamalan ; Desmadre de padre 
226;Premios Razzie ; Peor guion: ;2012; Ehren Kruger, Roberto Orci, Alex Kurtzman ; Jack y su gemela (Jack y Jill) 
227;Premios Razzie ; Peor guion: ;2011; Mike Myers, Graham Gordy ; Airbender, el último guerrero 
228;Premios Razzie ; Peor guion: ;2010; Jeff Hammond ; Transformers: La venganza de los caídos 
229;Premios Razzie ; Peor guion: ;2009; Leora Barish, Henry Bean ; El gurú del buen rollo (The Love Guru) 
230;Premios Razzie ; Peor guion: ;2008; Jenny McCarthy ; Sé quién me mató 
231;Premios Razzie ; Peor guion: ;2007; Theresa Rebeck, John D. Brancato, Michael Ferris, John Rogers ; Instinto Básico 2: adicción al riesgo 
232;Premios Razzie ; Peor guion: ;2006; Martin Brest ; Supersalidas 
233;Premios Razzie ; Peor guion: ;2005; George Lucas, Jonathan Hales ; Catwoman 
234;Premios Razzie ; Peor guion: ;2004; Tom Green, Derek Harvie ; Una relación peligrosa (Gigli) 
235;Premios Razzie ; Peor guion: ;2003; Corey Mandell, J.D. Shapiro ; Star Wars. Episodio II: El ataque de los clones 
236;Premios Razzie ; Peor guion: ;2002; Jim Thomas, John Thomas, S.S. Wilson, Brent Maddock, Jeffrey Price, Peter S. Seaman ; Freddy el colgao 
237;Premios Razzie ; Peor guion: ;2001; Joe Eszterhas ; Campo de batalla: La Tierra 
238;Premios Razzie ; Peor guion: ;2000; Eric Roth, Brian Helgeland ; Wild Wild West 
239;Premios Razzie ; Peor guion: ;1999; Andrew Bergman ; ¡Arde Hollywood! 
240;Premios Razzie ; Peor guion: ;1998; Joe Eszterhas ; Mensajero del futuro 
241;Premios Razzie ; Peor guion: ;1997; Tom S. Parker, Babaloo Mandel, Mitch Markowitz, Dava Savel, Brian Levant, Michael G. Wilson, Al Aidekman, Cindy Begel, Lloyd Garver, David Silverman, Stephen Sustarsic, Nancy Steen, Neil Thompson ; Striptease 
242;Premios Razzie ; Peor guion: ;1996; Amy Holden Jones ; Showgirls 
243;Premios Razzie ; Peor guion: ;1995; Blake Snyder, William Osborne, William Davies ; Los Picapiedra 
244;Premios Razzie ; Peor guion: ;1994; Steven E. de Souza, Daniel Waters, Robert Kraft, Bruce Willis ; Una proposición indecente 
245;Premios Razzie ; Peor guion: ;1993; Daniel Waters, James Cappe, David Arnott ; ¡Alto! o mi madre dispara 
246;Premios Razzie ; Peor guion: ;1992; Eddie Murphy ; El gran halcón 
