id;festival;categoria;año;premiado_a;pelicula;director
240;Festival de Cannes ; Mejor guión: ;2008; Pedro Almodóvar ; El silencio de Lorna ; Shahab Hosseini
241;Festival de Cannes ; Mejor guión: ;2007; Guillermo Arriaga ; Al otro lado ; Michel Franco
242;Festival de Cannes ; Mejor guión: ;2006; Agnès Jaoui ; Volver ; Tim Roth
243;Festival de Cannes ; Mejor guión: ;2005; Denys Arcand ; Los tres entierros de Melquíades Estrada ; Andrey Zvyagintsev
244;Festival de Cannes ; Mejor guión: ;2004; Paul Laverty ; Como una imagen ; Aleksey Serebryakov
245;Festival de Cannes ; Mejor guión: ;2003; Danis Tanovic ; Las invasiones bárbaras ; Jia Zhangke
246;Festival de Cannes ; Mejor guión: ;2002; John C. Richards, James Flamberg ; Felices dieciséis (Sweet Sixteen) ; Jiang Wu
247;Festival de Cannes ; Mejor guión: ;2001; Yuri Arabov ; En tierra de nadie ; Cristian Mungiu
248;Festival de Cannes ; Mejor guión: ;2000; Hal Hartley ; Persiguiendo a Betty ; Cosmina Stratan
249;Festival de Cannes ; Mejor guión: ;1999; James Schamus ; Moloch ; Joseph Cedar
250;Festival de Cannes ; Mejor guión: ;1998; Alain Le Henry, Jacques Audiard ; Henry Fool ; Lior Ashkenazi
