id;festival;categoria;año;premiado_a
235;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2011; El caballo de Turín 
236;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2010; Si quiero silbar, silbo 
237;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2009; Gigante 
238;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2008; Entre nosotros 
239;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2007; S.O.P: Standard Operating Procedure 
240;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2006; El otro 
241;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2005; Offside (Fuera de juego) 
242;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2004; En soap (Enjabonado) 
243;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2003; Peacock 
244;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2002; El abrazo partido 
245;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2001; Adaptation. El ladrón de orquídeas 
246;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;2000; A media escalera 
247;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;1999; La bicicleta de Pekín 
248;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;1998; El camino a casa 
249;Festival de Berlín ; Oso de Plata - Gran Premio del Jurado: ;1997; Mifune 
250;Festival de Venecia ; León de Oro - Mejor película: ;2022; La belleza y el dolor 
251;Festival de Venecia ; León de Oro - Mejor película: ;2021; El acontecimiento 
252;Festival de Venecia ; León de Oro - Mejor película: ;2020; Nomadland 
253;Festival de Venecia ; León de Oro - Mejor película: ;2019; Joker 
254;Festival de Venecia ; León de Oro - Mejor película: ;2018; Roma 
255;Festival de Venecia ; León de Oro - Mejor película: ;2017; La forma del agua 
256;Festival de Venecia ; León de Oro - Mejor película: ;2016; The Woman Who Left 
257;Festival de Venecia ; León de Oro - Mejor película: ;2015; Desde allá 
