,puntuacion,total_premios,razzie,director,guion,musica,fotografia,reparto_1,reparto_2,reparto_3,reparto_4,reparto_5,duracion,year,accion,aventuras,belico,ciencia ficcion,cine negro,comedia,drama,fantastico,infantil,intriga,musical,romance,terror,thriller,western,pais
173,7.2,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,102
174,6.6,0,0,4,1,0,0,2,1,2,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102
175,6.1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25
176,5.5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5177
177,7.0,2,0,3,1,0,2,1,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,886
178,6.3,1,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
179,6.6,0,0,0,1,0,0,4,0,1,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
180,6.7,2,0,1,0,0,0,3,0,1,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5177
181,5.0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,717
182,5.4,0,0,0,0,0,0,1,1,1,1,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,717
183,6.6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
184,3.8,0,0,0,0,0,1,0,3,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1042
185,6.7,6,0,2,2,0,0,0,1,4,2,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,717
187,6.7,0,0,1,0,0,0,6,1,0,0,5,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5177
188,6.6,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43
189,5.5,0,0,0,0,1,1,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5177
190,5.1,0,0,0,1,0,0,3,1,1,1,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,141
191,5.2,0,0,1,0,0,0,0,0,0,3,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5177
192,7.3,0,0,0,0,0,0,2,0,3,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5177
193,4.1,0,0,0,0,2,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,886
194,4.3,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
195,6.9,3,0,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150
196,6.7,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
197,5.1,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
198,6.6,3,0,1,0,6,5,1,1,3,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
199,4.3,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41
200,4.4,0,0,0,0,0,0,0,5,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5177
201,7.2,14,0,2,3,0,2,10,19,2,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
202,6.0,1,0,1,0,0,0,3,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
203,7.6,0,0,2,1,1,1,7,0,1,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
204,6.3,0,0,0,1,3,0,0,3,2,0,5,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
205,7.1,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5177
206,4.8,0,0,1,0,0,0,2,1,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,886
207,7.4,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5177
208,3.9,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5177
209,6.1,0,0,0,0,0,0,3,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,150
210,5.0,0,0,1,3,1,0,0,0,3,4,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
212,6.3,0,0,1,1,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1042
213,7.9,0,0,0,0,0,2,1,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,886
214,7.1,1,0,6,0,2,1,0,3,5,1,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,314
215,6.4,0,0,0,0,0,2,0,10,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5177
216,6.0,0,0,0,0,0,0,1,4,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
219,3.8,0,0,0,0,0,0,1,0,1,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,717
220,7.4,0,0,3,4,0,3,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24
221,4.4,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70
222,6.7,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77
223,7.1,1,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
224,5.2,1,2,0,0,0,3,4,4,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5177
225,6.1,0,0,2,0,13,0,5,1,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
226,7.2,0,0,0,0,1,0,0,1,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,141
227,6.7,0,0,0,0,0,0,1,0,1,0,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
228,5.1,0,0,0,1,13,0,10,0,0,1,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5177
234,5.4,0,0,0,0,2,1,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89
235,6.5,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24
236,6.8,0,0,4,1,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102
237,5.6,0,0,0,0,0,0,7,0,0,0,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5177
238,6.4,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150
239,4.7,0,0,0,0,0,4,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5177
240,5.1,0,0,0,0,0,0,0,2,7,4,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
241,5.1,0,0,0,0,0,0,0,0,1,2,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
242,5.5,2,0,0,0,2,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,886
244,7.2,7,0,1,0,0,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,886
245,6.8,2,0,0,0,1,0,1,1,2,1,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
246,6.7,2,0,2,0,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5177
247,7.1,3,0,0,0,0,0,3,1,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24
248,5.5,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,886
249,5.5,0,0,0,0,0,0,2,1,1,4,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5177
